raw x,raw y,year,month,cases/thousand,month_num
2010.079254,5.301724000,2010,jan,5.30,1
2010.167832,5.603448000,2010,feb,5.60,2
2010.242424,6.012931000,2010,mar,6.01,3
2010.321678,5.172414000,2010,apr,5.17,4
2010.410256,5.172414000,2010,may,5.17,5
2010.494172,5.862069000,2010,jun,5.86,6
2010.573427,6.25,2010,jul,6.25,7
2010.662005,5,2010,aug,5.00,8
2010.703963,3.965517000,2010,sep,3.97,9
2010.741259,3.125,2010,oct,3.13,10
2010.829837,2.306034000,2010,nov,2.31,11
2010.909091,4.094828000,2010,dec,4.09,12
2010.997669,5.107759000,2011,jan,5.11,1
2011.030303,5.711207000,2011,feb,5.71,2
2011.081585,6.314655000,2011,mar,6.31,3
2011.170163,5.36637900,2011,apr,5.37,4
2011.244755,4.74137900,2011,may,4.74,5
2011.324009,4.181034000,2011,jun,4.18,6
2011.412587,4.181034000,2011,jul,4.18,7
2011.496503,4.547414000,2011,aug,4.55,8
2011.585082,4.590517000,2011,sep,4.59,9
2011.664336,4.094828000,2011,oct,4.09,10
2011.832168,3.857759000,2011,nov,3.86,11
2011.916084,4.698276000,2011,dec,4.70,12
2012,5.086207000,2012,jan,5.09,1
2012.079254,6.012931000,2012,feb,6.01,2
2012.167832,6.056034000,2012,mar,6.06,3
2012.242424,6.379310000,2012,apr,6.38,4
2012.335664,5.668103000,2012,may,5.67,5
2012.410256,5.775862000,2012,jun,5.78,6
2012.512821,5.474138000,2012,jul,5.47,7
2012.582751,5.25862100,2012,aug,5.26,8
2012.662005,5.172414000,2012,sep,5.17,9
2012.755245,4.418103000,2012,oct,4.42,10
2012.839161,4.353448000,2012,nov,4.35,11
2012.913753,5.88362100,2012,dec,5.88,12
2013.002331,6.896552000,2013,jan,6.90,1
2013.086247,7.349138000,2013,feb,7.35,2
2013.151515,6.206897000,2013,mar,6.21,3
2013.244755,6.293103000,2013,apr,6.29,4
2013.328671,6.25,2013,may,6.25,5
2013.417249,6.034483000,2013,jun,6.03,6
2013.496503,5.560345000,2013,jul,5.56,7
2013.585082,5.646552000,2013,aug,5.65,8
2013.664336,5.301724000,2013,sep,5.30,9
2013.748252,4.63362100,2013,oct,4.63,10
2013.841492,4.224138000,2013,nov,4.22,11
2013.911422,5.193966000,2013,dec,5.19,12
2013.995338,6.573276000,2014,jan,6.57,1
2014.079254,7.327586000,2014,feb,7.33,2
2014.158508,6.961207000,2014,mar,6.96,3
2014.242424,6.767241000,2014,apr,6.77,4
2014.335664,6.573276000,2014,may,6.57,5
2014.424242,6.228448000,2014,jun,6.23,6
2014.508159,5.905172000,2014,jul,5.91,7
2014.601399,5.25862100,2014,aug,5.26,8
2014.657343,4.74137900,2014,sep,4.74,9
2014.755245,4.396552000,2014,oct,4.40,10
2014.839161,4.418103000,2014,nov,4.42,11
2014.918415,4.870690000,2014,dec,4.87,12
2015.011655,5.926724000,2015,jan,5.93,1
2015.086247,6.767241000,2015,feb,6.77,2
2015.160839,7.5,2015,mar,7.50,3
2015.333333,7.112069000,2015,apr,7.11,4
2015.421911,7.13362100,2015,may,7.13,5
2015.505828,6.961207000,2015,jun,6.96,6
2015.58042,6.896552000,2015,jul,6.90,7
2015.682984,6.422414000,2015,aug,6.42,8
2015.762238,6.142241000,2015,sep,6.14,9
2015.83683,6.099138000,2015,oct,6.10,10
2015.916084,7.931034000,2015,nov,7.93,11
2015.962704,9.267241000,2015,dec,9.27,12
2016,10.40948300,2016,jan,10.41,1
2016.09324,11.875,2016,feb,11.87,2
2016.219114,10.94827600,2016,mar,10.95,3
2016.251748,10.15086200,2016,apr,10.15,4
2016.34965,9.849138000,2016,may,9.85,5
2016.41958,7.327586000,2016,jun,7.33,6
2016.498834,6.637931000,2016,jul,6.64,7
2016.592075,5.926724000,2016,aug,5.93,8
2016.675991,6.637931000,2016,sep,6.64,9
2016.755245,6.314655000,2016,oct,6.31,10
2016.834499,6.120690000,2016,nov,6.12,11
2016.923077,7.478448000,2017,dec,7.48,12
2017.006993,9.827586000,2017,jan,9.83,1
2017.090909,11.18534500,2017,feb,11.19,2
2017.179487,10.30172400,2017,mar,10.30,3
2017.249417,9.224138000,2017,apr,9.22,4
2017.328671,8.189655000,2017,may,8.19,5
2017.421911,7.090517000,2017,jun,7.09,6
2017.51049,6.422414000,2017,jul,6.42,7
2017.585082,5.517241000,2017,aug,5.52,8
2017.678322,5.193966000,2017,sep,5.19,9
2017.748252,4.698276000,2017,oct,4.70,10
2017.83683,4.245690000,2017,nov,4.25,11
,,,,,
,,,,,

