population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
10.0,0.5,0.001,0.0,0.0,0.0
10.0,0.5,0.005,0.0,0.0,0.0
10.0,0.5,0.01,0.0,0.0,0.0
10.0,0.5,0.0125,0.0,0.0,0.0
10.0,0.5,0.015,0.0,0.0,0.0
10.0,0.5,0.02,0.0,0.0,0.0
10.0,0.5,0.03,0.0,0.0,0.0
10.0,0.5,0.04,0.0,0.0,0.0
10.0,0.5,0.05,0.0,0.0,0.0
10.0,0.5,0.1,0.0,0.0,0.0
10.0,0.5,0.15,0.07203869047619046,0.06518518518518518,0.04991113404426098
10.0,0.5,0.2,0.10536361072206661,0.09727756892230575,0.07345103576043979
10.0,0.5,0.25,0.15912708818958818,0.13068617724867723,0.09642378169216405
10.0,0.5,0.3,0.1716407435157435,0.15533189033189032,0.11388876639555663
10.0,0.5,0.4,0.19614748677248678,0.15559448653198654,0.12875034474541053
10.0,0.5,0.5,0.5303319597069597,0.4371282074407074,0.3584223667258817
10.0,0.5,0.6,0.4299443843193843,0.3822999338624339,0.30335364690336764
10.0,0.5,0.8,0.6799239417989418,0.596378367003367,0.47994244192950275
10.0,0.5,1.0,0.8530088083213083,0.7516170634920635,0.60126130108425
20.0,0.5,0.001,0.0,0.0,0.0
20.0,0.5,0.005,0.0,0.0,0.0
20.0,0.5,0.01,0.0,0.0,0.0
20.0,0.5,0.0125,0.0,0.0,0.0
20.0,0.5,0.015,0.0,0.0,0.0
20.0,0.5,0.02,0.0,0.0,0.0
20.0,0.5,0.03,0.0,0.0,0.0
20.0,0.5,0.04,0.0,0.0,0.0
20.0,0.5,0.05,0.0,0.0,0.0
20.0,0.5,0.1,0.13467471798354153,0.10835877309609894,0.0962967152411381
20.0,0.5,0.15,0.3043349997597289,0.22213896179356704,0.19032363708569328
20.0,0.5,0.2,0.3558407323205117,0.28825563529607645,0.23183142189111114
20.0,0.5,0.25,0.4843487616005998,0.4206126991880669,0.33199880350552
20.0,0.5,0.3,0.47231302262552266,0.40573643778607016,0.3216627047662674
20.0,0.5,0.4,0.7017846950843275,0.5961107111842405,0.45087376838330007
20.0,0.5,0.5,0.7461415323475113,0.6491850973100972,0.5038155156239615
20.0,0.5,0.6,0.7867732672420172,0.6520191151441151,0.5074321384957288
20.0,0.5,0.8,0.8321882746882746,0.7139190439190439,0.562775087778692
20.0,0.5,1.0,0.8447345594220594,0.7385992595367595,0.5848481597217036
30.0,0.5,0.001,0.0,0.0,0.0
30.0,0.5,0.005,0.0,0.0,0.0
30.0,0.5,0.01,0.0,0.0,0.0
30.0,0.5,0.0125,0.0,0.0,0.0
30.0,0.5,0.015,0.0,0.0,0.0
30.0,0.5,0.02,0.0,0.0,0.0
30.0,0.5,0.03,0.0,0.0,0.0
30.0,0.5,0.04,0.030601959039400144,0.02295736871823828,0.02034557503614683
30.0,0.5,0.05,0.05093886165577342,0.03936378029244386,0.034160013000127505
30.0,0.5,0.1,0.24363799589158686,0.19647656734079488,0.16004123804442694
30.0,0.5,0.15,0.36824309650402914,0.30866274786364134,0.24943423279645968
30.0,0.5,0.2,0.4749060148407091,0.41027233728908746,0.3256936177645674
30.0,0.5,0.25,0.6703720899141253,0.5532745201529063,0.42593864042202173
30.0,0.5,0.3,0.585817022620912,0.4836583689464293,0.38523669553072376
