population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
10.0,0.451,0.001,0.0,0.0,0.0
10.0,0.451,0.005,0.0,0.0,0.0
10.0,0.451,0.01,0.0,0.0,0.0
10.0,0.451,0.0125,0.0,0.0,0.0
10.0,0.451,0.015,0.0,0.0,0.0
10.0,0.451,0.02,0.0,0.0,0.0
10.0,0.451,0.03,0.0,0.0,0.0
10.0,0.451,0.04,0.0,0.0,0.0
10.0,0.451,0.05,0.0,0.0,0.0
10.0,0.451,0.1,0.021180555555555557,0.022348484848484847,0.016170634920634922
10.0,0.451,0.15,0.01666666666666667,0.008333333333333335,0.006666666666666665
10.0,0.451,0.2,0.08770833333333332,0.08470238095238095,0.05812118437118437
10.0,0.451,0.25,0.050220959595959604,0.04590773809523809,0.038802083333333334
10.0,0.451,0.3,0.09305555555555556,0.08029265873015873,0.06135918003565062
10.0,0.451,0.4,0.1440029761904762,0.11580357142857142,0.08536080620445945
10.0,0.451,0.5,0.4295833333333333,0.32606150793650795,0.26564438789767736
10.0,0.451,0.6,0.3169246031746032,0.248125,0.2093052471622518
10.0,0.451,0.8,0.6392906746031746,0.5580191798941799,0.41927915120010706
10.0,0.451,1.0,0.5065277777777777,0.38899801587301586,0.3271964364611423
10.0,0.486,0.001,0.0,0.0,0.0
10.0,0.486,0.005,0.0,0.0,0.0
10.0,0.486,0.01,0.0,0.0,0.0
10.0,0.486,0.0125,0.0,0.0,0.0
10.0,0.486,0.015,0.0,0.0,0.0
10.0,0.486,0.02,0.0,0.0,0.0
10.0,0.486,0.03,0.0,0.0,0.0
10.0,0.486,0.04,0.0,0.0,0.0
10.0,0.486,0.05,0.0,0.0,0.0
10.0,0.486,0.1,0.0,0.0,0.0
10.0,0.486,0.15,0.026303661616161617,0.01936965811965812,0.018089743589743586
10.0,0.486,0.2,0.06750992063492063,0.05820601851851852,0.04560647685647686
10.0,0.486,0.25,0.11875,0.07523809523809523,0.05452039790275084
10.0,0.486,0.3,0.06338955026455026,0.05746527777777778,0.047264515455304926
10.0,0.486,0.4,0.280109126984127,0.1877281746031746,0.16608330905205904
10.0,0.486,0.5,0.3277777777777778,0.2552083333333333,0.18593847125097124
10.0,0.486,0.6,0.40365079365079365,0.34458333333333335,0.27145119586296057
10.0,0.486,0.8,0.6934027777777778,0.6118551587301587,0.44899323085468595
10.0,0.486,1.0,0.6497916666666667,0.48236111111111113,0.435181912994413
10.0,0.561,0.001,0.0,0.0,0.0
10.0,0.561,0.005,0.0,0.0,0.0
10.0,0.561,0.01,0.0,0.0,0.0
10.0,0.561,0.0125,0.0,0.0,0.0
10.0,0.561,0.015,0.0,0.0,0.0
10.0,0.561,0.02,0.0,0.0,0.0
10.0,0.561,0.03,0.0,0.0,0.0
10.0,0.561,0.04,0.0,0.0,0.0
10.0,0.561,0.05,0.0,0.0,0.0
10.0,0.561,0.1,0.0,0.0,0.0
10.0,0.561,0.15,0.03965277777777778,0.03715277777777778,0.025143022486772488
10.0,0.561,0.2,0.0,0.0,0.0
10.0,0.561,0.25,0.0905952380952381,0.08043981481481481,0.05224095349095349
10.0,0.561,0.3,0.042361111111111106,0.04743055555555555,0.030637254901960786
10.0,0.561,0.4,0.18075396825396822,0.15657738095238094,0.112113325128031
10.0,0.561,0.5,0.17958333333333334,0.15145833333333333,0.10968371429768489
10.0,0.561,0.6,0.5680456349206349,0.46790674603174603,0.3437706253727925
10.0,0.561,0.8,0.49375,0.4625396825396825,0.3552694769146975
10.0,0.561,1.0,0.6836507936507936,0.5253472222222222,0.4609799667244521
10.0,0.603,0.001,0.0,0.0,0.0
10.0,0.603,0.005,0.0,0.0,0.0
10.0,0.603,0.01,0.0,0.0,0.0
10.0,0.603,0.0125,0.0,0.0,0.0
10.0,0.603,0.015,0.0,0.0,0.0
10.0,0.603,0.02,0.0,0.0,0.0
10.0,0.603,0.03,0.0,0.0,0.0
10.0,0.603,0.04,0.0,0.0,0.0
10.0,0.603,0.05,0.0,0.0,0.0
10.0,0.603,0.1,0.0,0.0,0.0
10.0,0.603,0.15,0.0,0.0,0.0
10.0,0.603,0.2,0.027500000000000004,0.035416666666666666,0.019206349206349206
10.0,0.603,0.25,0.043402777777777776,0.05145833333333334,0.033966727716727714
10.0,0.603,0.3,0.10902777777777777,0.12138888888888888,0.09367812946857065
10.0,0.603,0.4,0.16270292207792209,0.11960682189542485,0.09456047812110523
10.0,0.603,0.5,0.2417063492063492,0.20150462962962962,0.15248300568540504
10.0,0.603,0.6,0.3957638888888889,0.29088789682539684,0.24403050445426605
10.0,0.603,0.8,0.4792361111111111,0.4147321428571429,0.31064460618930434
10.0,0.603,1.0,0.6362929894179894,0.5770951617826617,0.4578498542819111
10.0,0.661,0.001,0.0,0.0,0.0
10.0,0.661,0.005,0.0,0.0,0.0
10.0,0.661,0.01,0.0,0.0,0.0
10.0,0.661,0.0125,0.0,0.0,0.0
10.0,0.661,0.015,0.0,0.0,0.0
10.0,0.661,0.02,0.0,0.0,0.0
10.0,0.661,0.03,0.0,0.0,0.0
10.0,0.661,0.04,0.0,0.0,0.0
10.0,0.661,0.05,0.0,0.0,0.0
10.0,0.661,0.1,0.0,0.0,0.0
10.0,0.661,0.15,0.021726190476190472,0.015104166666666663,0.01507740447957839
10.0,0.661,0.2,0.03270833333333333,0.025231481481481483,0.019157647907647908
10.0,0.661,0.25,0.04840277777777778,0.034523809523809526,0.031753472222222225
10.0,0.661,0.3,0.17956349206349204,0.14775252525252525,0.093705727483301
10.0,0.661,0.4,0.23625165343915344,0.20238425925925924,0.1479951958981564
10.0,0.661,0.5,0.30186507936507934,0.2903720238095238,0.23033691626103964
10.0,0.661,0.6,0.32979166666666665,0.24857142857142858,0.19986526341305752
10.0,0.661,0.8,0.549917328042328,0.4522619047619047,0.3280963828912745
10.0,0.661,1.0,0.6117923280423281,0.5547321428571428,0.4095724921542453
10.0,0.676,0.001,0.0,0.0,0.0
10.0,0.676,0.005,0.0,0.0,0.0
10.0,0.676,0.01,0.0,0.0,0.0
10.0,0.676,0.0125,0.0,0.0,0.0
10.0,0.676,0.015,0.0,0.0,0.0
10.0,0.676,0.02,0.0,0.0,0.0
10.0,0.676,0.03,0.0,0.0,0.0
10.0,0.676,0.04,0.0,0.0,0.0
10.0,0.676,0.05,0.0,0.0,0.0
10.0,0.676,0.1,0.014374999999999999,0.02222222222222222,0.015245098039215685
10.0,0.676,0.15,0.0024801587301587296,0.0026041666666666665,0.003390522875816993
10.0,0.676,0.2,0.0476273148148148,0.034246031746031746,0.02864319632662024
10.0,0.676,0.25,0.02291666666666667,0.01666666666666667,0.021940212565212565
10.0,0.676,0.3,0.08756944444444444,0.09459325396825395,0.0582146336098542
10.0,0.676,0.4,0.14606977513227512,0.17037698412698413,0.12099355754396388
10.0,0.676,0.5,0.3080229377104377,0.29101851851851845,0.21103953991628138
10.0,0.676,0.6,0.2293055555555555,0.16746031746031745,0.1322924896454308
10.0,0.676,0.8,0.42584325396825395,0.4045667989417989,0.3115515081323904
10.0,0.676,1.0,0.5631746031746031,0.5039583333333333,0.3840674492919075
10.0,0.755,0.001,0.0,0.0,0.0
10.0,0.755,0.005,0.0,0.0,0.0
10.0,0.755,0.01,0.0,0.0,0.0
10.0,0.755,0.0125,0.0,0.0,0.0
10.0,0.755,0.015,0.0,0.0,0.0
10.0,0.755,0.02,0.0,0.0,0.0
10.0,0.755,0.03,0.0,0.0,0.0
10.0,0.755,0.04,0.0,0.0,0.0
10.0,0.755,0.05,0.0,0.0,0.0
10.0,0.755,0.1,0.0,0.0,0.0
10.0,0.755,0.15,0.06666666666666668,0.04611111111111112,0.025443948412698415
10.0,0.755,0.2,0.06291666666666666,0.06354166666666666,0.03912698412698412
10.0,0.755,0.25,0.11527777777777777,0.09626984126984126,0.06952380952380952
10.0,0.755,0.3,0.0939781746031746,0.08905423280423282,0.07225337142837396
10.0,0.755,0.4,0.3175595238095238,0.28224116161616164,0.20595721782302662
10.0,0.755,0.5,0.4045707070707071,0.36765873015873013,0.2997093300070442
10.0,0.755,0.6,0.29949404761904763,0.25217261904761906,0.21402333686050792
10.0,0.755,0.8,0.4885763888888889,0.4156349206349206,0.30926410905271196
10.0,0.755,1.0,0.5556249999999999,0.47368055555555555,0.35778769794733417
10.0,0.783,0.001,0.0,0.0,0.0
10.0,0.783,0.005,0.0,0.0,0.0
10.0,0.783,0.01,0.0,0.0,0.0
10.0,0.783,0.0125,0.0,0.0,0.0
10.0,0.783,0.015,0.0,0.0,0.0
10.0,0.783,0.02,0.0,0.0,0.0
