population,access_rate,beta,pfpr2to10
10.0,0.5,0.001,0.0
10.0,0.5,0.005,0.0
10.0,0.5,0.01,0.0
10.0,0.5,0.0125,0.0
10.0,0.5,0.015,0.0
10.0,0.5,0.02,0.0
10.0,0.5,0.03,0.0
10.0,0.5,0.04,0.0
10.0,0.5,0.05,0.0
10.0,0.5,0.1,0.0
10.0,0.5,0.15,0.0
10.0,0.5,0.2,0.0
10.0,0.5,0.25,0.0
10.0,0.5,0.3,3.944444444444444
10.0,0.5,0.4,0.0
10.0,0.5,0.5,0.0
10.0,0.5,0.6,21.25
10.0,0.5,0.8,28.125
10.0,0.5,1.0,30.166666666666664
10.0,0.55,0.001,0.0
10.0,0.55,0.005,0.0
10.0,0.55,0.01,0.0
10.0,0.55,0.0125,0.0
10.0,0.55,0.015,0.0
10.0,0.55,0.02,0.0
10.0,0.55,0.03,0.0
10.0,0.55,0.04,0.0
10.0,0.55,0.05,0.0
10.0,0.55,0.1,0.0
10.0,0.55,0.15,0.3333333333333333
10.0,0.55,0.2,0.0
10.0,0.55,0.25,0.0
10.0,0.55,0.3,6.541666666666667
10.0,0.55,0.4,10.222222222222221
10.0,0.55,0.5,0.0
10.0,0.55,0.6,4.7222222222222205
10.0,0.55,0.8,28.541666666666664
10.0,0.55,1.0,8.819444444444445
10.0,0.6,0.001,0.0
10.0,0.6,0.005,0.0
10.0,0.6,0.01,0.0
10.0,0.6,0.0125,0.0
10.0,0.6,0.015,0.0
10.0,0.6,0.02,0.0
10.0,0.6,0.03,0.0
10.0,0.6,0.04,0.0
10.0,0.6,0.05,0.0
10.0,0.6,0.1,0.0
10.0,0.6,0.15,0.0
10.0,0.6,0.2,0.0
10.0,0.6,0.25,2.0
10.0,0.6,0.3,0.0
10.0,0.6,0.4,2.108134920634921
10.0,0.6,0.5,0.8333333333333334
10.0,0.6,0.6,9.057539682539682
10.0,0.6,0.8,17.569444444444443
10.0,0.6,1.0,48.333333333333336
10.0,0.65,0.001,0.0
10.0,0.65,0.005,0.0
10.0,0.65,0.01,0.0
10.0,0.65,0.0125,0.0
10.0,0.65,0.015,0.0
10.0,0.65,0.02,0.0
10.0,0.65,0.03,0.0
10.0,0.65,0.04,0.0
10.0,0.65,0.05,0.0
10.0,0.65,0.1,0.0
10.0,0.65,0.15,0.0
10.0,0.65,0.2,0.0
10.0,0.65,0.25,6.680555555555555
10.0,0.65,0.3,0.0
10.0,0.65,0.4,0.0
10.0,0.65,0.5,4.916666666666666
10.0,0.65,0.6,10.833333333333332
10.0,0.65,0.8,21.458333333333332
10.0,0.65,1.0,18.75
10.0,0.7,0.001,0.0
10.0,0.7,0.005,0.0
10.0,0.7,0.01,0.0
10.0,0.7,0.0125,0.0
10.0,0.7,0.015,0.0
10.0,0.7,0.02,0.0
10.0,0.7,0.03,0.0
10.0,0.7,0.04,0.0
10.0,0.7,0.05,0.0
10.0,0.7,0.1,0.0
10.0,0.7,0.15,0.0
10.0,0.7,0.2,0.0
10.0,0.7,0.25,2.083333333333333
10.0,0.7,0.3,0.0
10.0,0.7,0.4,10.083333333333334
10.0,0.7,0.5,0.0
10.0,0.7,0.6,0.0
10.0,0.7,0.8,39.26388888888889
10.0,0.7,1.0,28.111111111111107
10.0,0.75,0.001,0.0
10.0,0.75,0.005,0.0
10.0,0.75,0.01,0.0
10.0,0.75,0.0125,0.0
10.0,0.75,0.015,0.0
10.0,0.75,0.02,0.0
10.0,0.75,0.03,0.0
10.0,0.75,0.04,0.0
10.0,0.75,0.05,0.0
10.0,0.75,0.1,0.0
10.0,0.75,0.15,0.0
10.0,0.75,0.2,0.0
10.0,0.75,0.25,0.0
10.0,0.75,0.3,7.083333333333333
10.0,0.75,0.4,0.0
10.0,0.75,0.5,9.166666666666668
10.0,0.75,0.6,17.680555555555554
10.0,0.75,0.8,36.45833333333333
10.0,0.75,1.0,4.722222222222222
10.0,0.8,0.001,0.0
10.0,0.8,0.005,0.0
10.0,0.8,0.01,0.0
10.0,0.8,0.0125,0.0
10.0,0.8,0.015,0.0
10.0,0.8,0.02,0.0
10.0,0.8,0.03,0.0
10.0,0.8,0.04,0.0
10.0,0.8,0.05,0.0
10.0,0.8,0.1,0.0
10.0,0.8,0.15,0.0
10.0,0.8,0.2,0.0
10.0,0.8,0.25,0.0
10.0,0.8,0.3,0.0
10.0,0.8,0.4,3.3333333333333335
10.0,0.8,0.5,4.428571428571428
10.0,0.8,0.6,5.902777777777777
10.0,0.8,0.8,15.347222222222223
10.0,0.8,1.0,18.458333333333332
10.0,0.85,0.001,0.0
10.0,0.85,0.005,0.0
10.0,0.85,0.01,0.0
10.0,0.85,0.0125,0.0
10.0,0.85,0.015,0.0
10.0,0.85,0.02,0.0
10.0,0.85,0.03,0.0
10.0,0.85,0.04,0.0
10.0,0.85,0.05,0.0
10.0,0.85,0.1,0.0
10.0,0.85,0.15,0.0
10.0,0.85,0.2,0.0
10.0,0.85,0.25,0.0
10.0,0.85,0.3,6.388888888888888
10.0,0.85,0.4,5.666666666666666
10.0,0.85,0.5,0.0
10.0,0.85,0.6,6.111111111111111
10.0,0.85,0.8,14.166666666666666
10.0,0.85,1.0,3.3333333333333335
10.0,0.9,0.001,0.0
10.0,0.9,0.005,0.0
10.0,0.9,0.01,0.0
10.0,0.9,0.0125,0.0
10.0,0.9,0.015,0.0
10.0,0.9,0.02,0.0
10.0,0.9,0.03,0.0
10.0,0.9,0.04,0.0
10.0,0.9,0.05,0.0
10.0,0.9,0.1,0.0
10.0,0.9,0.15,0.0
10.0,0.9,0.2,0.0
10.0,0.9,0.25,0.0
10.0,0.9,0.3,4.166666666666666
10.0,0.9,0.4,13.472222222222223
10.0,0.9,0.5,0.0
10.0,0.9,0.6,10.694444444444443
10.0,0.9,0.8,26.069444444444446
10.0,0.9,1.0,32.68055555555556
10.0,0.95,0.001,0.0
10.0,0.95,0.005,0.0
10.0,0.95,0.01,0.0
10.0,0.95,0.0125,0.0
10.0,0.95,0.015,0.0
10.0,0.95,0.02,0.0
10.0,0.95,0.03,0.0
10.0,0.95,0.04,0.0
10.0,0.95,0.05,0.0
10.0,0.95,0.1,0.0
10.0,0.95,0.15,0.0
10.0,0.95,0.2,0.0
10.0,0.95,0.25,0.0
10.0,0.95,0.3,0.0
10.0,0.95,0.4,3.3611111111111107
10.0,0.95,0.5,5.833333333333334
10.0,0.95,0.6,15.821759259259258
10.0,0.95,0.8,32.84722222222223
10.0,0.95,1.0,0.0
25.0,0.5,0.001,0.0
25.0,0.5,0.005,0.0
25.0,0.5,0.01,0.0
25.0,0.5,0.0125,0.0
25.0,0.5,0.015,0.0
25.0,0.5,0.02,0.0
25.0,0.5,0.03,0.0
25.0,0.5,0.04,0.0
25.0,0.5,0.05,0.0
25.0,0.5,0.1,2.7350427350427355
25.0,0.5,0.15,5.379629629629629
25.0,0.5,0.2,8.373015873015873
25.0,0.5,0.25,29.588594276094273
25.0,0.5,0.3,26.669642857142854
25.0,0.5,0.4,24.643518518518515
25.0,0.5,0.5,44.451719576719576
