,population,access_rate,beta,iteration,pfprunder5,pfpr2to10,pfprall
cal_10_0.5_0.001_monthly_data_1,10.0,0.5,0.001,1.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_2,10.0,0.5,0.001,2.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_3,10.0,0.5,0.001,3.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_4,10.0,0.5,0.001,4.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_5,10.0,0.5,0.001,5.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_6,10.0,0.5,0.001,6.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_7,10.0,0.5,0.001,7.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_8,10.0,0.5,0.001,8.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_9,10.0,0.5,0.001,9.0,0.0,0.0,0.0
cal_10_0.5_0.001_monthly_data_10,10.0,0.5,0.001,10.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_1,10.0,0.5,0.005,1.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_2,10.0,0.5,0.005,2.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_3,10.0,0.5,0.005,3.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_4,10.0,0.5,0.005,4.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_5,10.0,0.5,0.005,5.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_6,10.0,0.5,0.005,6.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_7,10.0,0.5,0.005,7.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_8,10.0,0.5,0.005,8.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_9,10.0,0.5,0.005,9.0,0.0,0.0,0.0
cal_10_0.5_0.005_monthly_data_10,10.0,0.5,0.005,10.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_1,10.0,0.5,0.01,1.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_2,10.0,0.5,0.01,2.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_3,10.0,0.5,0.01,3.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_4,10.0,0.5,0.01,4.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_5,10.0,0.5,0.01,5.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_6,10.0,0.5,0.01,6.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_7,10.0,0.5,0.01,7.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_8,10.0,0.5,0.01,8.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_9,10.0,0.5,0.01,9.0,0.0,0.0,0.0
cal_10_0.5_0.01_monthly_data_10,10.0,0.5,0.01,10.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_1,10.0,0.5,0.0125,1.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_2,10.0,0.5,0.0125,2.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_3,10.0,0.5,0.0125,3.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_4,10.0,0.5,0.0125,4.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_5,10.0,0.5,0.0125,5.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_6,10.0,0.5,0.0125,6.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_7,10.0,0.5,0.0125,7.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_8,10.0,0.5,0.0125,8.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_9,10.0,0.5,0.0125,9.0,0.0,0.0,0.0
cal_10_0.5_0.0125_monthly_data_10,10.0,0.5,0.0125,10.0,0.0,0.0,0.0
cal_10_0.5_0.015_monthly_data_1,10.0,0.5,0.015,1.0,0.0,0.0,0.0
cal_10_0.5_0.015_monthly_data_2,10.0,0.5,0.015,2.0,0.0,0.0,0.0
