population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
10.0,0.451,0.001,0.0,0.0,0.0
10.0,0.451,0.005,0.0,0.0,0.0
10.0,0.451,0.01,0.0,0.0,0.0
10.0,0.451,0.0125,0.0,0.0,0.0
10.0,0.451,0.015,0.0,0.0,0.0
10.0,0.451,0.02,0.0,0.0,0.0
10.0,0.451,0.03,0.0,0.0,0.0
10.0,0.451,0.04,0.0,0.0,0.0
10.0,0.451,0.05,0.0,0.0,0.0
10.0,0.451,0.1,0.0,0.0,0.0
10.0,0.451,0.15,0.0,0.0,0.0
10.0,0.451,0.2,0.0,0.0,0.0
10.0,0.451,0.25,0.0,0.0,0.0
10.0,0.451,0.3,0.0,0.0,0.0
10.0,0.451,0.4,0.0,0.0,0.0
10.0,0.451,0.5,0.0,0.0,0.0
10.0,0.451,0.6,0.0,0.0,0.0
10.0,0.451,0.8,0.041666666666666664,0.02395833333333333,0.020833333333333332
10.0,0.451,1.0,0.0,0.0,0.0
10.0,0.486,0.001,0.0,0.0,0.0
10.0,0.486,0.005,0.0,0.0,0.0
10.0,0.486,0.01,0.0,0.0,0.0
10.0,0.486,0.0125,0.0,0.0,0.0
10.0,0.486,0.015,0.0,0.0,0.0
10.0,0.486,0.02,0.0,0.0,0.0
10.0,0.486,0.03,0.0,0.0,0.0
10.0,0.486,0.04,0.0,0.0,0.0
10.0,0.486,0.05,0.0,0.0,0.0
10.0,0.486,0.1,0.0,0.0,0.0
10.0,0.486,0.15,0.0,0.0,0.0
10.0,0.486,0.2,0.0,0.0,0.0
10.0,0.486,0.25,0.0,0.0,0.0
10.0,0.486,0.3,0.0,0.0,0.0
10.0,0.486,0.4,0.0,0.0,0.0
10.0,0.486,0.5,0.0,0.0,0.0
10.0,0.486,0.6,0.0,0.0,0.0
10.0,0.486,0.8,0.0,0.0,0.0
10.0,0.486,1.0,0.05,0.04375,0.07395833333333333
10.0,0.561,0.001,0.0,0.0,0.0
10.0,0.561,0.005,0.0,0.0,0.0
10.0,0.561,0.01,0.0,0.0,0.0
10.0,0.561,0.0125,0.0,0.0,0.0
10.0,0.561,0.015,0.0,0.0,0.0
10.0,0.561,0.02,0.0,0.0,0.0
10.0,0.561,0.03,0.0,0.0,0.0
10.0,0.561,0.04,0.0,0.0,0.0
10.0,0.561,0.05,0.0,0.0,0.0
10.0,0.561,0.1,0.0,0.0,0.0
10.0,0.561,0.15,0.0,0.0,0.0
10.0,0.561,0.2,0.0,0.0,0.0
10.0,0.561,0.25,0.0,0.0,0.0
10.0,0.561,0.3,0.0,0.0,0.0
10.0,0.561,0.4,0.0,0.0,0.0
10.0,0.561,0.5,0.0,0.0,0.0
10.0,0.561,0.6,0.03958333333333334,0.020833333333333332,0.02597222222222222
10.0,0.561,0.8,0.0,0.0041666666666666675,0.02430555555555556
10.0,0.561,1.0,0.0,0.0,0.07291666666666667
10.0,0.603,0.001,0.0,0.0,0.0
10.0,0.603,0.005,0.0,0.0,0.0
10.0,0.603,0.01,0.0,0.0,0.0
10.0,0.603,0.0125,0.0,0.0,0.0
10.0,0.603,0.015,0.0,0.0,0.0
10.0,0.603,0.02,0.0,0.0,0.0
10.0,0.603,0.03,0.0,0.0,0.0
10.0,0.603,0.04,0.0,0.0,0.0
10.0,0.603,0.05,0.0,0.0,0.0
10.0,0.603,0.1,0.0,0.0,0.0
10.0,0.603,0.15,0.0,0.0,0.0
10.0,0.603,0.2,0.0,0.0,0.0
10.0,0.603,0.25,0.0,0.0,0.0
10.0,0.603,0.3,0.0,0.0,0.0
10.0,0.603,0.4,0.0,0.0,0.0
10.0,0.603,0.5,0.0,0.0,0.0
10.0,0.603,0.6,0.0,0.0,0.0
10.0,0.603,0.8,0.0,0.0,0.0
10.0,0.603,1.0,0.08125,0.07666666666666667,0.08816964285714285
10.0,0.661,0.001,0.0,0.0,0.0
10.0,0.661,0.005,0.0,0.0,0.0
10.0,0.661,0.01,0.0,0.0,0.0
10.0,0.661,0.0125,0.0,0.0,0.0
10.0,0.661,0.015,0.0,0.0,0.0
10.0,0.661,0.02,0.0,0.0,0.0
10.0,0.661,0.03,0.0,0.0,0.0
10.0,0.661,0.04,0.0,0.0,0.0
10.0,0.661,0.05,0.0,0.0,0.0
10.0,0.661,0.1,0.0,0.0,0.0
10.0,0.661,0.15,0.0,0.0,0.0
10.0,0.661,0.2,0.0,0.0,0.0
10.0,0.661,0.25,0.0,0.0013888888888888887,0.0008333333333333333
10.0,0.661,0.3,0.0,0.0,0.0
10.0,0.661,0.4,0.0,0.0,0.0
10.0,0.661,0.5,0.04583333333333334,0.041666666666666664,0.029166666666666667
10.0,0.661,0.6,0.041666666666666664,0.03333333333333334,0.0244047619047619
10.0,0.661,0.8,0.0,0.0,0.0
10.0,0.661,1.0,0.020833333333333332,0.02708333333333333,0.011944444444444445
10.0,0.676,0.001,0.0,0.0,0.0
10.0,0.676,0.005,0.0,0.0,0.0
10.0,0.676,0.01,0.0,0.0,0.0
10.0,0.676,0.0125,0.0,0.0,0.0
10.0,0.676,0.015,0.0,0.0,0.0
10.0,0.676,0.02,0.0,0.0,0.0
10.0,0.676,0.03,0.0,0.0,0.0
10.0,0.676,0.04,0.0,0.0,0.0
10.0,0.676,0.05,0.0,0.0,0.0
10.0,0.676,0.1,0.0,0.0,0.0
10.0,0.676,0.15,0.0,0.0,0.0
10.0,0.676,0.2,0.0,0.0,0.0
10.0,0.676,0.25,0.0,0.0,0.0
10.0,0.676,0.3,0.0,0.0,0.0
10.0,0.676,0.4,0.0,0.0,0.0
10.0,0.676,0.5,0.0,0.0,0.0
10.0,0.676,0.6,0.04583333333333334,0.05,0.040625
10.0,0.676,0.8,0.16909722222222223,0.09916666666666667,0.16103219696969695
10.0,0.676,1.0,0.09791666666666668,0.10520833333333332,0.09508928571428571
10.0,0.755,0.001,0.0,0.0,0.0
10.0,0.755,0.005,0.0,0.0,0.0
10.0,0.755,0.01,0.0,0.0,0.0
10.0,0.755,0.0125,0.0,0.0,0.0
10.0,0.755,0.015,0.0,0.0,0.0
10.0,0.755,0.02,0.0,0.0,0.0
10.0,0.755,0.03,0.0,0.0,0.0
10.0,0.755,0.04,0.0,0.0,0.0
10.0,0.755,0.05,0.0,0.0,0.0
10.0,0.755,0.1,0.0,0.0,0.0
10.0,0.755,0.15,0.0,0.0,0.0
10.0,0.755,0.2,0.0,0.0,0.0
10.0,0.755,0.25,0.0,0.0,0.0
10.0,0.755,0.3,0.0,0.0,0.0
10.0,0.755,0.4,0.0,0.0,0.0
10.0,0.755,0.5,0.0,0.0,0.0
10.0,0.755,0.6,0.0,0.0,0.0
10.0,0.755,0.8,0.035416666666666666,0.0375,0.06736111111111111
10.0,0.755,1.0,0.07916666666666666,0.09166666666666666,0.071875
10.0,0.783,0.001,0.0,0.0,0.0
10.0,0.783,0.005,0.0,0.0,0.0
10.0,0.783,0.01,0.0,0.0,0.0
10.0,0.783,0.0125,0.0,0.0,0.0
10.0,0.783,0.015,0.0,0.0,0.0
10.0,0.783,0.02,0.0,0.0,0.0
10.0,0.783,0.03,0.0,0.0,0.0
10.0,0.783,0.04,0.0,0.0,0.0
10.0,0.783,0.05,0.0,0.0,0.0
10.0,0.783,0.1,0.0,0.0,0.0
10.0,0.783,0.15,0.0,0.0,0.0
10.0,0.783,0.2,0.0,0.0,0.0
10.0,0.783,0.25,0.0,0.0,0.0
10.0,0.783,0.3,0.0,0.0,0.0
10.0,0.783,0.4,0.0,0.0,0.0
10.0,0.783,0.5,0.0,0.0,0.0
10.0,0.783,0.6,0.0,0.0,0.0
10.0,0.783,0.8,0.0,0.0,0.0
10.0,0.783,1.0,0.071875,0.06875,0.07013888888888889
10.0,0.787,0.001,0.0,0.0,0.0
10.0,0.787,0.005,0.0,0.0,0.0
10.0,0.787,0.01,0.0,0.0,0.0
10.0,0.787,0.0125,0.0,0.0,0.0
10.0,0.787,0.015,0.0,0.0,0.0
10.0,0.787,0.02,0.0,0.0,0.0
10.0,0.787,0.03,0.0,0.0,0.0
10.0,0.787,0.04,0.0,0.0,0.0
10.0,0.787,0.05,0.0,0.0,0.0
10.0,0.787,0.1,0.0,0.0,0.0
10.0,0.787,0.15,0.0,0.0,0.0
10.0,0.787,0.2,0.0,0.0,0.0
10.0,0.787,0.25,0.0,0.0,0.0
10.0,0.787,0.3,0.0,0.0,0.0
10.0,0.787,0.4,0.0,0.0,0.0
10.0,0.787,0.5,0.0,0.0,0.0
10.0,0.787,0.6,0.06493055555555556,0.06354166666666668,0.05305059523809523
